mz,int,formula
221.060803,41.3,C15H10O2
221.081932,326.3,C12H14O4
222.00441,3,C9H5N1O6
222.040796,72.3,C10H9N1O5
222.077181,22.4,C11H13N1O4
222.988426,68,C9H4O7
223.024811,674.3,C10H8O6
223.040067,80.1,C14H8O3
223.061196,458.8,C11H12O5
223.07243,1.9,C10H12N2O4
223.076453,68.5,C15H12O2
223.097582,241.6,C12H16O4
223.133967,44.9,C13H20O3
224.02006,26.8,C9H7N1O6
224.056445,65.5,C10H11N1O5
224.092831,2.3,C11H15N1O4
225.004076,422.1,C9H6O7
225.019332,28.1,C13H6O4
225.040461,593.6,C10H10O6
225.051694,6.8,C9H10N2O5
225.055717,205.7,C14H10O3
225.076847,425.8,C11H14O5
225.092103,71.8,C15H14O2
225.113232,105.5,C12H18O4
226.03571,49.6,C9H9N1O6
226.050966,15.8,C13H9N1O3
226.072095,19.2,C10H13N1O5
226.998596,6.6,C12H4O5
227.019726,482.4,C9H8O7
227.034982,263.1,C13H8O4
227.056111,458.8,C10H12O6
227.071367,206.6,C14H12O3
227.092497,215.3,C11H16O5
227.107753,71.9,C15H16O2
228.030231,26.8,C12H7N1O4
228.05136,32.8,C9H11N1O6
228.066616,11.9,C13H11N1O3
228.99899,19.6,C8H6O8
229.014247,216,C12H6O5
229.035376,352.4,C9H10O7
229.050632,360.9,C13H10O4
229.071761,236.8,C10H14O6
229.087017,177.8,C14H14O3
229.108147,17.3,C11H18O5
229.123403,58.5,C15H18O2
230.045881,32.9,C12H9N1O4
230.06701,2.7,C9H13N1O6
230.082266,11.7,C13H13N1O3
230.993511,74.2,C11H4O6
231.01464,96,C8H8O8
231.029897,387.8,C12H8O5
231.033267,1.8,C9H12O5S1
231.051026,151.6,C9H12O7
231.066282,347.5,C13H12O4
231.087411,19.3,C10H16O6
231.102667,174.8,C14H16O3
231.123796,1.6,C11H20O5
231.139053,52.4,C15H20O2
232.025146,34.4,C11H7N1O5
232.061531,17.5,C12H11N1O4
232.097916,2.1,C13H15N1O3
232.976147,11,C7H6O7S1
233.009161,284.2,C11H6O6
233.012532,4.5,C8H10O6S1
233.03029,83.2,C8H10O8
233.045547,502.2,C12H10O5
233.060803,7.2,C16H10O2
233.066676,8.1,C9H14O7
233.081932,313.2,C13H14O4
233.118317,156.4,C14H18O3
234.040796,55.7,C11H9N1O5
234.077181,28,C12H13N1O4
234.988426,74.9,C10H4O7
235.024811,590.4,C11H8O6
235.028182,2.9,C8H12O6S1
235.040067,43.5,C15H8O3
235.061196,481.1,C12H12O5
235.076453,33.8,C16H12O2
235.097582,281.7,C13H16O4
235.133967,87.7,C14H20O3
236.02006,28.5,C10H7N1O6
236.056445,73.7,C11H11N1O5
236.092831,7.7,C12H15N1O4
237.004076,305.6,C10H6O7
237.019332,26.1,C14H6O4
237.040461,651.2,C11H10O6
237.055717,130.5,C15H10O3
237.076847,504.3,C12H14O5
237.092103,36.2,C16H14O2
237.113232,216.5,C13H18O4
237.149617,5,C14H22O3
238.03571,77.2,C10H9N1O6
238.072095,55.5,C11H13N1O5
238.087352,1.9,C15H13N1O2
239.019726,681.5,C10H8O7
239.034982,184.7,C14H8O4
239.056111,699.6,C11H12O6
239.067344,11.6,C10H12N2O5
239.071367,164.9,C15H12O3
239.092497,467.9,C12H16O5
239.107753,46.3,C16H16O2
239.128882,90.3,C13H20O4
240.05136,89.6,C10H11N1O6
240.066616,24.1,C14H11N1O3
240.087746,16.2,C11H15N1O5
240.99899,116,C9H6O8
241.014247,107.2,C13H6O5
241.035376,684.5,C10H10O7
241.046609,6.2,C9H10N2O6
241.050632,324.3,C14H10O4
241.071761,706.3,C11H14O6
241.082995,4.4,C10H14N2O5
241.087017,154.5,C15H14O3
241.108147,204.7,C12H18O5
241.123403,41.5,C16H18O2
241.994239,15.4,C8H5N1O8
242.045881,57.2,C13H9N1O4
242.06701,52.9,C10H13N1O6
242.082266,10,C14H13N1O3
242.176166,2.3,C13H25N1O3
242.978255,6,C8H4O9
242.993511,10.6,C12H4O6
242.996882,4.5,C9H8O6S1
243.01464,269.8,C9H8O8
243.029897,384.5,C13H8O5
243.051026,586,C10H12O7
243.062259,5.6,C9H12N2O6
243.066282,339.3,C14H12O4
243.087411,307.2,C11H16O6
243.102667,159.9,C15H16O3
243.123796,9.1,C12H20O5
243.139053,37.6,C16H20O2
244.025146,29,C12H7N1O5
244.061531,54.6,C13H11N1O4
245.009161,246.3,C12H6O6
245.012532,23,C9H10O6S1
245.03029,330.5,C9H10O8
245.045547,509.3,C13H10O5
245.048918,2.9,C10H14O5S1
245.066676,198.9,C10H14O7
245.081932,342.2,C14H14O4
245.103061,24.2,C11H18O6
245.118317,169,C15H18O3
245.154703,25.8,C16H22O2
246.00441,4.5,C11H5N1O6
246.040796,79.4,C12H9N1O5
246.077181,34.6,C13H13N1O4
246.988426,61.8,C11H4O7
247.024811,568.4,C12H8O6
247.04594,133.7,C9H12O8
247.061196,533.8,C13H12O5
247.076453,10.1,C17H12O2
247.082326,3.8,C10H16O7
247.097582,342.4,C14H16O4
247.133967,136.8,C15H20O3
248.02006,35.2,C11H7N1O6
248.056445,95.3,C12H11N1O5
248.071702,3.1,C16H11N1O2
248.092831,16.8,C13H15N1O4
249.004076,361.4,C11H6O7
249.007447,12.5,C8H10O7S1
249.025205,10.3,C8H10O9
249.040461,732.4,C12H10O6
249.055717,95,C16H10O3
249.06159,10.2,C9H14O8
249.076847,543.2,C13H14O5
249.092103,14.5,C17H14O2
249.113232,343.2,C14H18O4
249.999325,2,C10H5N1O7
250.03571,79.9,C11H9N1O6
250.050966,3.7,C15H9N1O3
250.072095,78.1,C12H13N1O5
250.98334,114.4,C10H4O8
251.019726,795.3,C11H8O7
251.034982,136.8,C15H8O4
251.056111,830.4,C12H12O6
251.067344,10,C11H12N2O5
251.071367,141.5,C16H12O3
251.092497,647,C13H16O5
251.107753,13.5,C17H16O2
251.128882,230.6,C14H20O4
252.014975,26.8,C10H7N1O7
252.05136,123.3,C11H11N1O6
252.066616,11.5,C15H11N1O3
252.087746,50.2,C12H15N1O5
252.99899,221.3,C10H6O8
253.014247,97.4,C14H6O5
253.035376,983.1,C11H10O7
253.046609,12.2,C10H10N2O6
253.050632,294.1,C15H10O4
253.071761,1072.7,C12H14O6
253.082995,5,C11H14N2O5
253.087017,133.3,C16H14O3
253.108147,540.7,C13H18O5
253.123403,21.5,C17H18O2
253.144532,64.8,C14H22O4
254.030625,68.3,C10H9N1O7
254.045881,49.5,C14H9N1O4
254.06701,108.2,C11H13N1O6
254.082266,7.9,C15H13N1O3
254.993511,8.9,C13H4O6
254.996882,7.5,C10H8O6S1
255.01464,481.8,C10H8O8
255.029897,337.7,C14H8O5
255.051026,1185,C11H12O7
255.062259,25.1,C10H12N2O6
255.066282,329.8,C15H12O4
255.087411,1081.2,C12H16O6
255.102667,142.6,C16H16O3
255.123797,164.6,C13H20O5
255.139053,39.2,C17H20O2
256.046275,97.7,C10H11N1O7
256.061531,62.1,C14H11N1O4
256.08266,41.4,C11H15N1O6
256.097916,2.9,C15H15N1O3
256.976147,2.5,C9H6O7S1
256.993905,10,C9H6O9
257.009161,192.9,C13H6O6
257.03029,754.5,C10H10O8
257.045547,491.4,C14H10O5
257.066676,1028.1,C11H14O7
257.081932,315.6,C15H14O4
257.103061,318.8,C12H18O6
257.118317,145.8,C16H18O3
257.139446,6.5,C13H22O5
257.154703,30.1,C17H22O2
258.040796,79.5,C13H9N1O5
258.061925,64.2,C10H13N1O7
258.077181,48.8,C14H13N1O4
258.988426,16.7,C12H4O7
258.991797,6.3,C9H8O7S1
259.009555,85.6,C9H8O9
259.024811,486.7,C13H8O6
259.04594,619.1,C10H12O8
259.061196,546.9,C14H12O5
259.082326,268.7,C11H16O7
259.097582,318.6,C15H16O4
259.118711,18.7,C12H20O6
259.133967,133.6,C16H20O3
259.170353,2.9,C17H24O2
260.02006,41.6,C12H7N1O6
260.056445,97.6,C13H11N1O5
260.092831,38.4,C14H15N1O4
261.004076,253.6,C12H6O7
261.007447,15.9,C9H10O7S1
261.025205,142.8,C9H10O9
261.040461,723.6,C13H10O6
