mz,int,formula
226.036584,6131774,C9H9N1O6
226.044704,5832766,C9H10O6 13C1
226.051832,8572990,C13H9N1O3
226.05995,4055102,C13H10O3 13C1
226.081064,10342462,C10H14O5 13C1
226.096293,4220990,C14H14O2 13C1
226.117486,5537854,C11H18O4 13C1
227.020614,16437305,C9H8O7
227.035865,48967736,C13H8O4
227.05698,49426488,C10H12O6
227.07224,48640056,C14H12O3
227.093361,45953080,C11H16O5
227.10862,20852792,C15H16O2
227.12976,6434873,C12H20O4
227.202526,39301176,C14H28O2
228.031134,9457718,C12H7N1O4
228.039213,8171574,C12H8O4 13C1
228.06034,5328950,C9H12O6 13C1
228.075594,5734454,C13H12O3 13C1
228.096711,6299702,C10H16O5 13C1
228.20587,6348854,C13H28O2 13C1
229.01514,36401208,C12H6O5
229.036244,25882678,C9H10O7
229.051503,85110840,C13H10O4
229.072656,28864566,C10H14O6
229.087912,51556408,C14H14O3
229.109015,10465335,C11H18O5
229.124271,22589496,C15H18O2
230.018475,5398588,C11H6O5 13C1
230.022952,15945788,C7H9N3O4S1
230.046765,13537340,C12H9N1O4
230.054878,12333116,C12H10O4 13C1
230.075953,3330109,C9H14O6 13C1
230.08317,9764925,C13H13N1O3
230.09125,8945725,C13H14O3 13C1
230.127646,3205181,C14H18O2 13C1
230.994412,12013639,C11H4O6
231.015517,6348871,C8H8O8
231.030779,79671368,C12H8O5
231.05193,13488199,C9H12O7
231.067188,84193352,C13H12O4
231.088283,8507464,C10H16O6
231.10355,60371016,C14H16O3
231.139968,17772616,C15H20O2
232.00225,6627416,C6H7N3O5S1
232.026035,9412696,C11H7N1O5
232.034176,9650264,C11H8O5 13C1
232.062433,13971545,C12H11N1O4
232.070528,14495833,C12H12O4 13C1
232.098815,8179802,C13H15N1O3
232.106908,9154650,C13H16O3 13C1
233.01007,36204656,C11H6O6
233.031176,7766129,C8H10O8
233.046438,98349168,C12H10O5
233.082848,82096240,C13H14O4
233.119206,56340596,C14H18O3
233.155609,13996149,C15H22O2
234.013438,4270226,C10H6O6 13C1
234.017875,11210898,C6H9N3O5S1
234.041698,9891987,C11H9N1O5
234.049796,12357779,C11H10O5 13C1
234.078085,14217364,C12H13N1O4
234.086204,11301012,C12H14O4 13C1
234.122565,9363606,C13H18O3 13C1
234.989332,10948795,C10H4O7
235.025711,59551932,C11H8O6
235.040968,11178173,C15H8O3
235.062113,87273664,C12H12O5
235.098477,95334592,C13H16O4
235.134885,32403650,C14H20O3
236.029106,6852850,C10H8O6 13C1
236.057354,12316915,C11H11N1O5
236.065459,13070579,C11H12O5 13C1
236.093738,8929525,C12H15N1O4
236.101835,12267766,C12H16O4 13C1
236.138262,4391160,C13H20O3 13C1
237.00497,21246256,C10H6O7
237.020217,8200497,C14H6O4
237.041382,66728244,C11H10O6
237.056635,26259764,C15H10O3
237.077769,94548280,C12H14O5
237.093035,12489014,C16H14O2
237.114136,77050168,C13H18O4
237.150538,9806138,C14H22O3
238.036648,6289790,C10H9N1O6
238.044706,7819647,C10H10O6 13C1
238.059994,5058944,C14H10O3 13C1
238.073012,12865921,C11H13N1O5
238.081128,12906882,C11H14O5 13C1
238.117531,9748869,C12H18O4 13C1
239.020636,30306774,C10H8O7
239.035888,37319128,C14H8O4
239.057033,79868376,C11H12O6
239.072285,38384092,C15H12O3
239.093433,90419680,C12H16O5
239.108698,13382110,C16H16O2
239.129805,29700576,C13H20O4
240.023952,3258942,C9H8O7 13C1
240.039256,6005312,C13H8O4 13C1
240.052305,9392705,C10H11N1O6
240.060382,9933378,C10H12O6 13C1
240.067553,8860227,C14H11N1O3
240.075641,6060612,C14H12O3 13C1
240.096778,10564166,C11H16O5 13C1
240.133181,4903498,C12H20O4 13C1
241.015192,18444980,C13H6O5
241.036302,41497268,C10H10O7
241.05157,64860856,C14H10O4
241.07268,85373624,C11H14O6
241.087939,44905148,C15H14O3
241.10907,44643008,C12H18O5
241.124316,17232578,C16H18O2
241.218231,42447564,C15H30O2
242.023005,15545147,C8H9N3O4S1
242.039652,6529853,C9H10O7 13C1
242.046838,11137854,C13H9N1O4
242.054915,9392959,C13H10O4 13C1
242.076081,9306946,C10H14O6 13C1
242.091275,7394117,C14H14O3 13C1
242.112424,6570824,C11H18O5 13C1
242.127673,4272970,C15H18O2 13C1
242.22159,8737623,C14H30O2 13C1
243.015573,8172497,C9H8O8
243.030834,68039632,C13H8O5
243.051981,41890776,C10H12O7
243.067231,75150296,C14H12O4
243.088358,42185692,C11H16O6
243.103623,41071584,C15H16O3
243.124723,6743011,C12H20O5
243.140003,14250981,C16H20O2
244.026082,6796413,C12H7N1O5
244.034174,8500350,C12H8O5 13C1
244.038665,16708735,C8H11N3O4S1
244.055336,4289666,C9H12O7 13C1
244.062458,12735619,C13H11N1O4
244.070583,12440708,C13H12O4 13C1
244.091732,5190792,C10H16O6 13C1
244.098822,8066186,C14H15N1O3
244.106979,6636683,C14H16O3 13C1
245.0101,38319412,C12H6O6
245.031223,17528120,C9H10O8
245.046482,96843064,C13H10O5
245.067611,18855232,C10H14O7
245.082867,86029632,C14H14O4
245.119259,45495628,C15H18O3
245.155654,11375954,C16H22O2
246.013452,4290051,C11H6O6 13C1
246.017933,12555780,C7H9N3O5S1
246.04173,12654089,C12H9N1O5
246.049872,11605514,C12H10O5 13C1
246.078118,13997585,C13H13N1O4
246.086253,10597906,C13H14O4 13C1
246.122637,6243866,C14H18O3 13C1
246.989372,10335964,C11H4O7
247.025759,63977188,C12H8O6
247.046886,10180329,C9H12O8
247.062142,103200496,C13H12O5
247.098525,88979192,C14H16O4
247.134911,42415868,C15H20O3
248.021049,6612947,C11H7N1O6
248.029117,8157141,C11H8O6 13C1
248.033596,11483094,C7H11N3O5S1
248.057421,14694364,C12H11N1O5
248.065501,15235038,C12H12O5 13C1
248.093826,9705445,C13H15N1O4
248.101891,12744679,C13H16O4 13C1
248.138245,7071728,C14H20O3 13C1
249.005019,29374670,C11H6O7
249.04141,89045208,C12H10O6
249.056666,19937500,C16H10O3
249.077795,113228000,C13H14O5
249.114182,92584168,C14H18O4
249.150561,21919990,C15H22O3
250.008477,2931168,C10H6O7 13C1
250.036679,8395240,C11H9N1O6
250.044777,11745770,C11H10O6 13C1
250.060015,2669038,C15H10O3 13C1
250.073069,16898546,C12H13N1O5
250.08117,15047156,C12H14O5 13C1
250.117547,12024318,C13H18O4 13C1
250.153923,4383241,C14H22O3 13C1
250.984339,7514873,C10H4O8
251.020708,34765572,C11H8O7
251.035943,22444808,C15H8O4
251.057094,91863824,C12H12O6
251.072339,28031762,C16H12O3
251.093479,117947160,C13H16O5
251.108723,10566429,C17H16O2
251.129863,57686820,C14H20O4
252.02401,3474484,C10H8O7 13C1
252.03931,3411000,C14H8O4 13C1
252.052358,11639868,C11H11N1O6
252.060426,13401151,C11H12O6 13C1
252.075667,5717060,C15H12O3 13C1
252.088733,11074632,C12H15N1O5
252.0968,18480202,C12H16O5 13C1
252.133221,9903190,C13H20O4 13C1
252.999983,7519594,C10H6O8
253.012828,6622575,C18H6S1
253.015241,17259888,C14H6O5
253.036369,57326968,C11H10O7
253.051609,50478460,C15H10O4
253.072749,121617792,C12H14O6
253.087984,33045894,C16H14O3
253.109124,107789712,C13H18O5
